symbol,date,price
Ganga,Jan 2000,39  
Ganga,Feb 2000,36  
Ganga,Mar 2000,43
Ganga,Apr 2000,28
Ganga,May 2000,25
Ganga,Jun 2000,32
Ganga,Jul 2000,28  
Ganga,Aug 2000,28  
Ganga,Sep 2000,24
Ganga,Oct 2000,28
Ganga,Nov 2000,23
Ganga,Dec 2000,17
Ganga,Jan 2001,24
Ganga,Feb 2001,24
Ganga,Mar 2001,22
Ganga,Apr 2001,27
Ganga,May 2001,28
Ganga,Jun 2001,29  
Ganga,Jul 2001,26
Ganga,Aug 2001,23
Ganga,Sep 2001,20
Ganga,Oct 2001,23
Ganga,Nov 2001,26
Ganga,Dec 2001,26
Ganga,Jan 2002,25
Ganga,Feb 2002,23
Ganga,Mar 2002,24
Ganga,Apr 2002,21
Ganga,May 2002,20
Ganga,Jun 2002,22
Ganga,Jul 2002,19
Ganga,Aug 2002,19
Ganga,Sep 2002,17
Ganga,Oct 2002,21
Ganga,Nov 2002,23
Ganga,Dec 2002,21
Ganga,Jan 2003,19
Ganga,Feb 2003,19
Ganga,Mar 2003,19
Ganga,Apr 2003,20
Ganga,May 2003,20
Ganga,Jun 2003,20
Ganga,Jul 2003,21
Ganga,Aug 2003,21
Ganga,Sep 2003,22
Ganga,Oct 2003,21
Ganga,Nov 2003,21  
Ganga,Dec 2003,22
Ganga,Jan 2004,22
Ganga,Feb 2004,21
Ganga,Mar 2004,20
Ganga,Apr 2004,21
Ganga,May 2004,21
Ganga,Jun 2004,23
Ganga,Jul 2004,23
Ganga,Aug 2004,22
Ganga,Sep 2004,22
Ganga,Oct 2004,23
Ganga,Nov 2004,24  
Ganga,Dec 2004,24
Ganga,Jan 2005,24
Ganga,Feb 2005,23
Ganga,Mar 2005,22
Ganga,Apr 2005,23
Ganga,May 2005,23
Ganga,Jun 2005,22
Ganga,Jul 2005,23
Ganga,Aug 2005,25
Ganga,Sep 2005,23
Ganga,Oct 2005,23
Ganga,Nov 2005,25
Ganga,Dec 2005,24
